Assignment,2011,2012,2013,2014,2015
Access Services,6,19,20,42,10
Acquisitions,11,15,12,4,
Administration,40,77,75,70,43
Adult Services,23,38,54,23,14
Archives,97,107,92,79,32
Automation/Systems,18,12,5,2,
Cataloging & Classification,62,74,53,42,13
Children's Services,98,74,114,87,21
Circulation,85,86,68,51,
Collection Development,8,17,13,8,5
Database Management,20,22,12,18,
Electronic or Digital Services,31,65,13,,14
Government Documents,5,4,4,3,
Information Architecture,9,11,,7,
Info Technology,29,66,34,35,5
Instruction,23,63,54,59,
Interlibrary Loan/Document Delivery,14,20,17,16,
Knowledge Management,16,13,8,9,
Other,102,299,265,184,
Records Management,14,17,23,10,
Reference/Info Services,320,265,199,208,41
School Library Media Specialist,190,178,99,107,41
Solo Librarian,53,57,35,30,
Technical Services,11,36,28,37,6
Telecommunications,2,,,,
Usability/User Experience,6,46,35,57,37
Youth Services,40,55,54,47,35
Metadata,,7,17,16,5
Public Services,,35,34,60,
Research,,13,17,,16
Web Design/Development,,6,,,10
Data Curation,,,10,4,
Digital Content Management,,,27,47,6
Emerging Technologies,,,9,2,
Indexing/Abstracting,,,6,1,
Data Analytics,,,,6,7
Rights & Permissions,,,,4,
Social Media Management,,,,5,8
Business Analyst,,,,,6
Librarian,,,,,56
Library Associate/Library Assistant,,,,,21
Library Specialist,,,,,6
Library Technical Assistant,,,,,5
Library Technician,,,,,8
Medical Librarian,,,,,3
Special Collections Librarian,,,,,4
